"","Industry","ESG_Overall","Revenue","MarketCap","GrowthRate","WaterUsage","CarbonEmissions"
"1","Retail",57.7,593.2,248.4,-1.8,21268.2,42536.3
"2","Retail",57.8,636.7,373.9,7.3,22978.2,45956.3
"3","Retail",58.5,687,460.1,7.9,24644.5,49289.1
"4","Retail",59.2,734.5,628.8,6.9,25902.9,51805.8
"5","Retail",64,3106.4,514.3,-1.9,113880.7,227761.4
"6","Retail",66,3691.6,2523.2,18.8,135507.6,271015.1
"7","Retail",65.7,3822.9,5807.8,3.6,141830,283660
"8","Retail",66.3,4371.5,20376.3,14.4,161641,323282
"9","Transportation",31.3,389.6,327.9,11.8,41632.4,249794.5
"10","Transportation",32.3,415.2,498.7,6.6,43938.7,263632.1
"11","Transportation",32.1,438,739.4,5.5,45393.6,272361.8
"12","Transportation",34.3,479.8,1020.7,9.5,49373.7,296242
"13","Technology",60.5,5711.3,35339.1,-1.3,85669,142781.6
"14","Technology",62.6,5844.2,34781.6,2.3,87662.6,146104.4
"15","Technology",63.5,6555.1,45451.6,12.2,98326.7,163877.9
"16","Technology",64.1,7675.6,42400.4,17.1,115134.7,191891.1
"17","Finance",47.6,3094.2,9600.4,-0.8,20157,40314
"18","Finance",45.9,3281.7,6441.8,6.1,21814.1,43628.2
"19","Finance",47.4,3282.1,9663,0,20909.4,41818.8
"20","Finance",48,3162.1,6674.6,-3.7,19780.6,39561.3
"21","Transportation",72.5,2747.5,12663.9,11.4,198114,1188684.3
"22","Transportation",71.7,3009.5,4910,9.5,217635.4,1305812.3
"23","Transportation",69.5,3095.6,2201.1,2.9,236769.6,1420617.4
"24","Transportation",73.1,3297,7887.8,6.5,238143.9,1428863.2
"25","Healthcare",53.9,6387.4,18488.5,-1.3,404596.4,404596.4
"26","Healthcare",53.7,6014.8,10294.8,-5.8,378353.9,378353.9
"27","Healthcare",55.8,6084.6,27425.5,1.2,381475.3,381475.3
"28","Healthcare",58.4,6444.2,38,5.9,378090.2,378090.2
"29","Healthcare",79.6,6583.8,8606.9,2.9,443275.8,443275.8
"30","Healthcare",79.6,6810.4,9866,3.4,457696.4,457696.4
"31","Healthcare",81.4,7168.5,17539,5.3,468000.4,468000.4
"32","Healthcare",81.6,7117.1,10386.3,-0.7,469707.3,469707.3
"33","Technology",65.3,4673,8480.9,6.2,125533.4,209222.4
"34","Technology",63.3,5102.1,5222,9.2,135462.6,225770.9
"35","Technology",63.2,5853.9,5804.7,14.7,154663.5,257772.5
"36","Technology",63.5,6764,5954.9,15.5,174715.9,291193.2
"37","Technology",67.1,93510.8,446629.1,17.4,1798855.6,2998092.6
"38","Technology",67.4,108029.1,416982,15.5,2085858.2,3476430.3
"39","Technology",68.6,117939.2,610070,9.2,2318530.2,3864217
"40","Technology",69.6,104787.3,412517.1,-11.2,1991451.2,3319085.3
"41","Energy",66.2,295.3,17,-17.1,65212.7,217375.8
"42","Energy",67.7,266.7,155.1,-9.7,57411.1,191370.2
"43","Energy",69.2,194.5,114.8,-27.1,41288.5,137628.4
"44","Energy",70.3,170.6,158.9,-12.3,35891.8,119639.5
"45","Finance",53.2,3533.5,12821.9,-5,20718.9,41437.8
"46","Finance",54.5,3302.9,11416.2,-6.5,19461.8,38923.6
"47","Finance",54.6,3517.8,11569.2,6.5,20400.7,40801.4
"48","Finance",53.6,3577.8,10452.9,1.7,20924.4,41848.9
"49","Consumer Goods",54.6,1067.8,2422.7,-1.7,150774.7,120619.7
"50","Consumer Goods",55.6,1194.6,1792.2,11.9,158724.9,126979.9
"51","Consumer Goods",55.2,1402.8,2355,17.4,182733,146186.4
"52","Consumer Goods",56.1,1671.6,3789.7,19.2,215409.2,172327.4
"53","Transportation",42.7,1158.1,988.5,7.1,116702.3,700213.7
"54","Transportation",42.9,1404.4,364,21.3,141515.4,849092.3
"55","Transportation",44.8,1408.8,1560.2,0.3,140265.7,841594.3
"56","Transportation",46.1,1623.4,678.5,15.2,160235.6,961413.8
