"","Date","Sales"
"1",2015-01-01,7476.1
"2",2015-02-01,5459.44
"3",2015-03-01,5533.2
"4",2015-04-01,5081.09
"5",2015-05-01,4431.88
"6",2015-06-01,3905.9
"7",2015-07-01,5484.88
"8",2015-08-01,4833.47
"9",2015-09-01,7359.04
"10",2015-10-01,6529.83
"11",2015-11-01,8259.23
"12",2015-12-01,9332.52
"13",2016-01-01,6278.65
"14",2016-02-01,6705.77
"15",2016-03-01,6160.84
"16",2016-04-01,6115.56
"17",2016-05-01,4920.26
"18",2016-06-01,2912.04
"19",2016-07-01,3376.89
"20",2016-08-01,7026.09
"21",2016-09-01,6566.99
"22",2016-10-01,6230.15
"23",2016-11-01,8160.2
"24",2016-12-01,9564.54
"25",2017-01-01,10002.69
"26",2017-02-01,7688.42
"27",2017-03-01,7172.88
"28",2017-04-01,5314.67
"29",2017-05-01,6641.34
"30",2017-06-01,5658
"31",2017-07-01,6833.62
"32",2017-08-01,7681.07
"33",2017-09-01,8794.78
"34",2017-10-01,8329.66
"35",2017-11-01,9870.5
"36",2017-12-01,8395.19
"37",2018-01-01,9042.17
"38",2018-02-01,8542.47
"39",2018-03-01,6644.93
"40",2018-04-01,7958.9
"41",2018-05-01,7650.06
"42",2018-06-01,7100.35
"43",2018-07-01,8302.19
"44",2018-08-01,7769.44
"45",2018-09-01,8112.88
"46",2018-10-01,10411.05
"47",2018-11-01,10072.62
"48",2018-12-01,12186.48
"49",2019-01-01,10594.18
"50",2019-02-01,11024.52
"51",2019-03-01,10117.84
"52",2019-04-01,8594.13
"53",2019-05-01,10044.24
"54",2019-06-01,9209.12
"55",2019-07-01,9080.27
"56",2019-08-01,9892.04
"57",2019-09-01,11078.13
"58",2019-10-01,11471.07
"59",2019-11-01,9668.87
"60",2019-12-01,12607.91
"61",2020-01-01,12001.55
"62",2020-02-01,12011.38
"63",2020-03-01,8696.16
"64",2020-04-01,8718.59
"65",2020-05-01,6586.63
"66",2020-06-01,11128.83
"67",2020-07-01,10676.34
"68",2020-08-01,11908
"69",2020-09-01,12684.88
"70",2020-10-01,13396.7
"71",2020-11-01,12656.84
"72",2020-12-01,13743.05
"73",2021-01-01,14236.55
"74",2021-02-01,12549.98
"75",2021-03-01,12253.24
"76",2021-04-01,12527.6
"77",2021-05-01,12254.2
"78",2021-06-01,11936.21
"79",2021-07-01,11184.64
"80",2021-08-01,11690.18
"81",2021-09-01,14658.47
"82",2021-10-01,14533.54
"83",2021-11-01,15076.49
"84",2021-12-01,15240.08
"85",2022-01-01,14311.07
"86",2022-02-01,15338.4
"87",2022-03-01,14056.99
"88",2022-04-01,13466.99
"89",2022-05-01,13943.94
"90",2022-06-01,13787.42
"91",2022-07-01,14578.95
"92",2022-08-01,13768.26
"93",2022-09-01,19554.98
"94",2022-10-01,17033.69
"95",2022-11-01,15717.91
"96",2022-12-01,16256.17
"97",2023-01-01,15976.35
"98",2023-02-01,15303.83
"99",2023-03-01,15924.29
"100",2023-04-01,15772.56
"101",2023-05-01,15802.03
"102",2023-06-01,15617
"103",2023-07-01,14321.09
"104",2023-08-01,17293.59
"105",2023-09-01,16174.08
"106",2023-10-01,17685.21
"107",2023-11-01,17955.93
"108",2023-12-01,18541.32
"109",2024-01-01,18733.89
"110",2024-02-01,18275.33
"111",2024-03-01,17556.23
"112",2024-04-01,17059.66
"113",2024-05-01,16183.31
"114",2024-06-01,16115.43
"115",2024-07-01,15539.58
"116",2024-08-01,17260.93
"117",2024-09-01,18056.58
"118",2024-10-01,21528.71
"119",2024-11-01,18977.65
"120",2024-12-01,20529.8
