"","Gender","Senior","Partner","Dependents","Tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","ChurnLabel","CLTV","AvgMonthlyLongDistanceCharges","TotalRevenue","AvgMonthlyGBDownload","n_addIT_services","haversine_dist","manhattan_dist","bearing_degree"
"1","Male","No","No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"Yes",3239,10.47,129.09,21,2,589816.261171799,794446.895941242,149.603749630151
"2","Female","No","No","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65,"Yes",2701,9.12,169.89,51,0,578982.791573346,780841.288031873,149.382873902329
"3","Female","No","No","Yes",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5,"Yes",5372,12.15,917.7,26,1,580679.010414127,783267.32041465,149.334391547431
"4","Female","No","Yes","Yes",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"Yes",5003,4.89,3182.97,47,2,578338.916903097,779803.517584449,149.434508133952
"5","Male","No","No","Yes",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"Yes",5340,44.33,7208.47,11,2,582763.709672994,786652.23642653,149.159773829686
"6","Female","No","Yes","No",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35,"Yes",5925,9.41,622.45,69,2,578182.261618975,779839.49189663,149.365009547396
"7","Male","Yes","No","No",1,"No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,39.65,"Yes",5433,0,59.65,8,1,589196.61458168,797913.341203257,148.37478251979
"8","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.15,20.15,"Yes",4832,33.58,53.73,0,0,572720.148349743,768917.869607301,150.385704827003
"9","Male","No","Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes",5789,31.35,6222.6,16,1,574159.188556948,774633.169073239,149.323545174091
"10","Male","No","Yes","No",1,"No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"Yes",2915,0,30.2,58,1,576547.927022476,778522.800435424,149.11813594107
"11","Female","No","No","No",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes",3022,40.55,1782.45,41,0,582915.812617259,789963.003962981,148.243151811175
"12","Male","No","No","Yes",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"Yes",2454,12.6,379.9,58,0,576092.668092645,779262.17461788,148.722281117776
"13","Male","No","No","Yes",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes",2941,21.69,4286.71,28,2,575879.35350549,780827.890398684,148.160750487697
"14","Female","No","No","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes",5674,27.57,1408.67,18,1,578655.000988567,784534.892370789,148.161842995585
